bullet_type,caliber,gun_type,velocity,mass,rifling_twist,target_material,distance,damage_level
Black Talon,9.17,FN Five-seveN,425.82,9.49,9.5,Brick,11.0,23
ELD-M,12.04,Winchester Model 70,599.69,5.25,10.72,Wood,33.0,50
AccuBond,8.06,Glock 17,452.71,8.11,11.14,Glass,17.0,77
Ranger T-Series,7.85,AR-15,639.3,4.93,9.76,Brick,28.0,32
Black Talon,11.41,Barrett M82,644.47,4.43,12.58,Ceramic,25.0,16
FMJ,5.0,Kel-Tec KSG,594.05,6.46,9.03,Water,7.0,21
FMJ,12.57,Barrett M82,375.55,7.51,7.88,Brick,6.0,25
HST,6.58,Beretta 92FS,482.34,7.78,6.39,Kevlar,31.0,14
FMJ,11.83,HK USP,716.77,6.89,11.27,Metal,4.0,34
PolyCase ARX,9.88,Kel-Tec KSG,300.0,12.39,9.82,Water,17.0,43
Black Talon,5.0,Desert Eagle,538.02,6.37,7.07,Metal,63.0,20
Critical Duty,9.04,AR-15,651.41,13.76,10.52,Concrete,15.0,32
BTHP,12.94,Dragunov SVD,586.92,7.35,11.76,Sand,33.0,34
Hydra-Shok,8.09,FN Five-seveN,913.87,5.35,10.51,Rubber,6.0,51
SP,8.36,Kel-Tec KSG,300.0,9.19,8.72,Glass,1.0,77
Golden Saber,6.7,Sig Sauer P320,300.0,10.99,7.75,Wood,9.0,50
PowerBond,12.59,Ruger SR9,536.46,4.73,10.49,Ceramic,17.0,20
EFMJ,7.61,SCAR-L,686.39,2.26,10.07,Sand,20.0,36
AccuBond,14.37,Winchester Model 70,511.47,11.99,14.0,Concrete,15.0,24
Extreme Point,12.47,Desert Eagle,763.6,13.36,8.02,Rubber,11.0,65
Critical Defense,13.0,Desert Eagle,384.55,10.15,10.78,Glass,85.0,46
Critical Duty,9.24,Remington 700,445.43,5.02,8.91,Wood,23.0,57
Critical Duty,7.54,AK-47,652.54,7.39,8.64,Kevlar,62.0,19
FMJ,10.44,Glock 17,429.25,3.21,7.79,Wood,4.0,49
AccuBond,13.66,HK416,687.38,12.12,12.05,Metal,100.0,10
TMJ,14.32,Colt 1911,638.95,8.88,12.02,Rubber,24.0,44
SP,5.0,Colt 1911,416.73,9.8,11.73,Wood,71.0,25
AccuBond,15.0,M4 Carbine,559.91,8.52,9.1,Ceramic,19.0,30
AP,9.76,M4 Carbine,404.4,8.01,10.99,Rubber,3.0,51
Ranger T-Series,11.34,M16,321.55,8.84,12.52,Concrete,9.0,11
AMAX,6.31,Kel-Tec KSG,421.74,8.0,6.0,Concrete,1.0,28
Ranger T-Series,6.11,HK USP,464.11,12.67,11.02,Metal,3.0,52
HST,5.0,Smith & Wesson M&P,522.34,2.39,11.81,Kevlar,100.0,5
Gold Dot,14.11,Dragunov SVD,478.27,4.53,11.35,Rubber,50.0,32
Extreme Point,6.94,Ruger SR9,300.0,6.55,8.35,Concrete,46.0,12
Hydra-Shok,8.72,CZ 75,698.17,7.26,8.27,Water,1.0,65
Ranger T-Series,8.1,CZ 75,300.0,12.01,10.61,Water,12.0,71
Hydra-Shok,5.94,Ruger SR9,537.77,2.55,10.09,Rubber,30.0,11
Partition,8.4,Ruger SR9,351.81,10.17,11.73,Glass,5.0,93
JHP,9.26,Benelli M4,529.21,7.44,11.71,Brick,11.0,35
EFMJ,12.75,M16,455.17,11.41,8.97,Sand,5.0,55
FMJ,5.82,HK USP,569.54,9.58,6.89,Water,24.0,13
Hydra-Shok,7.25,Remington 870,604.09,7.49,7.42,Brick,24.0,22
Gold Dot,10.65,Beretta 92FS,707.58,4.02,7.94,Wood,7.0,66
AP,9.14,FN Five-seveN,654.63,9.37,9.03,Sand,13.0,53
EFMJ,9.19,Benelli M4,508.28,6.42,10.56,Rubber,12.0,40
BT,6.09,Winchester Model 70,688.64,7.57,9.38,Brick,30.0,28
SP,11.34,M16,398.24,11.13,7.65,Brick,22.0,40
Critical Duty,13.24,Barrett M82,836.18,13.9,11.18,Concrete,1.0,44
TMJ,12.96,Barrett M82,381.12,2.0,9.42,Kevlar,3.0,15
EFMJ,8.42,SCAR-L,406.05,11.15,8.73,Rubber,37.0,37
V-Crown,5.0,Smith & Wesson M&P,300.0,13.19,8.48,Water,67.0,48
JHP,9.7,Benelli M4,366.45,7.34,10.57,Concrete,20.0,16
ELD-M,9.3,Colt 1911,446.59,3.39,9.48,Rubber,9.0,52
BTHP,5.95,Ruger SR9,445.54,9.44,8.86,Ceramic,5.0,20
TMJ,6.54,Remington 700,836.58,7.27,7.71,Sand,27.0,41
V-Crown,6.01,AR-15,617.0,20.0,8.86,Concrete,20.0,27
PowerBond,9.82,Mossberg 500,687.8,9.34,10.46,Concrete,48.0,16
ELD-M,6.53,Remington 870,500.02,6.06,11.16,Glass,47.0,78
ELD-M,9.5,AK-47,359.78,2.12,11.77,Water,7.0,77
SP,15.0,Ruger SR9,935.78,4.11,8.67,Water,32.0,54
Critical Defense,8.44,Dragunov SVD,479.82,11.54,7.07,Concrete,6.0,21
ELD-M,5.52,HK USP,628.9,2.0,11.08,Glass,30.0,70
HST,5.0,AK-47,310.49,2.0,10.29,Ceramic,4.0,34
FMJ,9.99,Barrett M82,300.0,11.99,7.29,Sand,9.0,26
BT,15.0,Walther PPQ,799.16,6.5,11.42,Water,2.0,50
Ranger T-Series,6.3,Dragunov SVD,586.5,6.94,6.0,Rubber,7.0,55
Hydra-Shok,5.0,Benelli M4,455.51,10.31,8.04,Rubber,8.0,68
JHP,14.12,M16,462.27,7.04,13.24,Kevlar,22.0,30
BTHP,15.0,Beretta 92FS,300.0,2.0,14.0,Metal,25.0,29
ELD-M,11.27,Kel-Tec KSG,387.79,5.36,11.82,Sand,18.0,42
AP,10.29,M16,585.14,9.88,9.34,Glass,29.0,111
Black Talon,9.2,Remington 700,509.13,8.27,10.72,Sand,12.0,51
V-Crown,11.04,HK416,650.56,14.0,6.0,Brick,20.0,31
PolyCase ARX,10.9,Winchester Model 70,300.0,9.65,9.12,Metal,9.0,29
AP,9.85,SCAR-L,534.86,4.56,6.77,Wood,15.0,78
Critical Duty,6.14,HK USP,655.97,13.63,12.22,Brick,3.0,49
FMJ,9.83,M16,300.0,13.89,11.56,Rubber,19.0,51
AccuBond,8.7,HK416,300.0,5.18,11.24,Wood,5.0,63
SP,6.59,Remington 870,300.0,10.25,11.6,Water,12.0,41
Ranger T-Series,9.83,Kel-Tec KSG,759.31,10.67,8.91,Glass,22.0,80
Extreme Point,7.54,Dragunov SVD,514.42,9.36,9.92,Glass,11.0,77
AP,9.2,Desert Eagle,528.23,2.49,8.64,Sand,5.0,38
Partition,10.37,Springfield XD,726.89,19.95,10.07,Wood,22.0,79
PowerBond,10.79,Dragunov SVD,477.84,6.29,9.81,Rubber,38.0,52
Partition,7.62,Kel-Tec KSG,370.03,9.44,10.74,Metal,14.0,26
Ranger T-Series,10.35,Mossberg 500,534.24,11.68,7.81,Glass,16.0,80
Gold Dot,11.05,Smith & Wesson M&P,586.04,6.35,10.02,Brick,10.0,36
FMJ,11.92,AR-15,300.0,12.96,9.99,Water,18.0,51
BT,9.91,Remington 870,813.28,8.0,10.37,Glass,14.0,74
Gold Dot,10.82,FN Five-seveN,300.0,5.46,8.14,Metal,27.0,35
Extreme Point,7.74,Kel-Tec KSG,565.29,2.29,8.78,Rubber,5.0,62
AccuBond,15.0,Benelli M4,834.74,6.49,8.34,Glass,13.0,107
EFMJ,8.81,Dragunov SVD,524.21,9.45,13.9,Water,8.0,69
Critical Duty,12.36,HK416,300.0,6.74,12.39,Concrete,2.0,24
Black Talon,7.54,Desert Eagle,797.32,10.62,9.87,Ceramic,10.0,22
BT,10.12,Sig Sauer P320,403.76,14.62,10.89,Water,61.0,34
PolyCase ARX,10.01,Benelli M4,656.18,6.79,13.07,Concrete,12.0,27
AP,10.58,CZ 75,583.79,12.58,13.21,Kevlar,16.0,43
AP,6.46,Springfield XD,496.76,8.72,10.8,Glass,27.0,80
AP,10.17,Sig Sauer P320,300.0,9.23,8.34,Concrete,84.0,21
AP,7.55,Desert Eagle,581.39,8.05,12.42,Brick,11.0,45
Black Talon,11.46,AR-15,647.62,9.58,10.47,Water,15.0,82
PolyCase ARX,6.37,Mossberg 500,300.0,4.73,9.32,Rubber,69.0,17
V-Crown,9.92,Mossberg 500,834.92,5.08,11.36,Ceramic,11.0,28
V-Crown,8.92,Mossberg 500,422.76,5.6,8.71,Kevlar,31.0,10
Ranger T-Series,14.56,SCAR-L,863.28,2.0,6.93,Sand,12.0,66
BTHP,12.35,Walther PPQ,633.4,3.16,12.55,Concrete,5.0,19
V-Crown,13.12,Colt 1911,504.73,7.63,10.9,Glass,55.0,62
Extreme Point,6.69,Kel-Tec KSG,520.95,5.7,11.65,Ceramic,25.0,15
JHP,7.85,FN Five-seveN,696.97,7.82,6.31,Metal,40.0,17
PolyCase ARX,8.99,SCAR-L,805.6,10.5,10.84,Sand,2.0,51
AP,12.43,AK-47,305.63,8.99,10.58,Ceramic,24.0,31
Critical Defense,10.13,Colt 1911,380.29,7.56,9.31,Glass,20.0,64
ELD-M,6.75,Ruger SR9,831.61,2.0,9.33,Metal,13.0,38
Hydra-Shok,6.88,FN Five-seveN,323.57,8.2,8.99,Sand,3.0,44
ELD-M,12.58,Springfield XD,504.43,5.29,13.15,Brick,11.0,42
Extreme Point,10.23,Remington 700,362.54,10.77,11.68,Glass,19.0,68
PolyCase ARX,9.16,Springfield XD,647.84,4.81,9.48,Ceramic,23.0,14
HST,8.91,Dragunov SVD,300.0,3.42,8.72,Sand,2.0,24
Ranger T-Series,11.69,Beretta 92FS,646.93,13.68,9.96,Glass,12.0,102
Gold Dot,5.84,Remington 870,732.07,2.0,9.98,Sand,11.0,52
BTHP,9.16,FN Five-seveN,631.49,14.76,7.91,Metal,31.0,46
Golden Saber,9.33,AK-47,333.71,8.42,12.21,Concrete,1.0,46
HST,5.26,Glock 17,300.0,6.65,9.49,Brick,31.0,23
BT,8.38,Sig Sauer P320,364.5,6.27,10.14,Glass,31.0,55
JHP,15.0,Beretta 92FS,630.36,11.52,11.62,Rubber,24.0,62
Black Talon,6.49,Mossberg 500,495.09,8.87,13.15,Concrete,46.0,14
Ranger T-Series,9.38,Mossberg 500,675.76,8.7,10.22,Concrete,13.0,31
Golden Saber,5.0,Winchester Model 70,455.75,7.74,7.15,Wood,2.0,62
Golden Saber,8.58,FN Five-seveN,445.63,6.16,11.19,Brick,8.0,39
FMJ,5.78,Sig Sauer P320,820.04,13.0,10.32,Glass,19.0,64
SP,7.94,Benelli M4,361.9,6.1,8.93,Kevlar,8.0,30
ELD-M,10.28,Barrett M82,629.31,2.87,10.77,Kevlar,20.0,22
Hydra-Shok,5.62,M16,656.82,9.22,8.71,Concrete,1.0,33
Gold Dot,9.72,Beretta 92FS,974.28,2.28,6.92,Rubber,1.0,55
Black Talon,6.66,Benelli M4,831.14,13.9,10.26,Brick,1.0,37
JHP,5.0,HK416,609.81,9.64,8.11,Brick,75.0,26
Gold Dot,11.95,Remington 870,641.95,2.0,9.45,Concrete,6.0,33
BTHP,6.12,HK USP,752.38,9.52,11.16,Rubber,32.0,48
Gold Dot,7.73,Glock 17,371.68,6.51,6.0,Ceramic,44.0,6
BT,7.29,Colt 1911,852.29,13.1,9.26,Ceramic,3.0,6
V-Crown,9.65,Remington 700,493.76,7.44,8.09,Kevlar,4.0,44
Ranger T-Series,9.1,CZ 75,636.35,7.53,7.01,Water,10.0,56
AP,8.5,Mossberg 500,572.3,6.4,10.07,Sand,14.0,40
Critical Defense,6.87,Dragunov SVD,348.6,6.82,8.99,Sand,15.0,32
ELD-M,8.2,AR-15,423.8,2.0,11.23,Ceramic,10.0,42
Golden Saber,9.88,Kel-Tec KSG,340.52,5.72,10.81,Kevlar,18.0,14
PowerBond,9.35,AR-15,543.86,3.98,11.11,Wood,27.0,58
Critical Defense,12.37,Ruger SR9,300.0,6.32,6.14,Glass,24.0,87
SP,11.29,Remington 870,302.21,12.37,10.26,Water,1.0,60
BT,12.32,CZ 75,411.33,14.48,10.34,Wood,18.0,56
HST,13.06,M4 Carbine,468.45,8.84,7.5,Wood,25.0,84
TMJ,9.56,Colt 1911,791.17,5.59,9.73,Water,4.0,52
TMJ,11.56,CZ 75,698.99,2.34,10.47,Rubber,19.0,31
EFMJ,10.01,M16,476.54,6.04,10.06,Metal,2.0,54
HST,12.98,HK416,862.88,3.01,11.22,Ceramic,22.0,21
BT,5.0,Sig Sauer P320,567.12,7.1,10.9,Sand,19.0,30
Critical Duty,8.05,M4 Carbine,634.82,7.76,11.26,Water,6.0,70
TMJ,10.23,Beretta 92FS,300.0,8.75,7.31,Ceramic,42.0,22
BTHP,10.71,CZ 75,311.65,8.4,8.54,Metal,33.0,29
HST,8.95,Benelli M4,709.53,2.0,9.17,Glass,27.0,101
FMJ,5.0,M4 Carbine,630.95,4.16,9.65,Glass,12.0,77
AP,8.47,Barrett M82,859.04,4.24,6.73,Sand,5.0,53
AP,11.45,Desert Eagle,843.5,6.21,9.62,Sand,30.0,52
V-Crown,8.05,Springfield XD,393.86,8.41,11.45,Kevlar,5.0,27
BTHP,9.28,Remington 870,730.22,4.92,7.25,Kevlar,13.0,18
Partition,14.75,Glock 17,303.49,20.0,6.94,Water,10.0,72
V-Crown,8.44,AR-15,300.0,12.91,12.43,Glass,5.0,102
Golden Saber,8.53,Walther PPQ,563.82,3.85,10.75,Sand,19.0,47
Partition,9.58,SCAR-L,653.08,13.31,13.85,Kevlar,80.0,7
Hydra-Shok,9.71,Dragunov SVD,566.95,14.66,10.26,Sand,13.0,54
V-MAX,9.4,Smith & Wesson M&P,691.23,3.0,9.75,Brick,14.0,29
AccuBond,10.18,M16,383.68,3.26,8.48,Sand,9.0,63
TMJ,5.43,CZ 75,703.76,8.5,14.0,Concrete,5.0,14
Hydra-Shok,8.64,Benelli M4,396.02,12.24,12.37,Metal,7.0,61
AP,5.31,AR-15,977.76,9.31,10.94,Rubber,42.0,36
V-Crown,9.17,Winchester Model 70,671.21,2.0,10.56,Wood,59.0,45
V-Crown,10.81,FN Five-seveN,815.47,4.82,7.67,Rubber,35.0,32
Partition,8.58,Colt 1911,300.0,5.65,10.0,Wood,1.0,71
HST,6.16,Sig Sauer P320,415.86,11.36,7.77,Kevlar,19.0,10
Critical Defense,7.71,Springfield XD,482.86,2.32,9.38,Wood,16.0,55
ELD-M,14.4,SCAR-L,300.0,2.96,10.2,Water,30.0,67
Ranger T-Series,13.35,Remington 870,822.93,8.24,10.36,Wood,30.0,57
EFMJ,7.37,M16,511.35,7.98,7.95,Ceramic,12.0,20
Golden Saber,7.36,Walther PPQ,300.0,11.61,11.02,Wood,7.0,34
SP,8.67,Remington 870,400.66,5.51,9.8,Metal,2.0,45
Gold Dot,12.72,Walther PPQ,300.0,12.32,11.51,Concrete,19.0,46
V-Crown,5.0,Springfield XD,649.04,11.65,11.17,Water,6.0,69
TMJ,7.33,Remington 700,621.4,7.59,12.44,Glass,67.0,37
V-MAX,10.23,HK416,629.52,5.84,8.41,Water,1.0,74
Critical Duty,9.89,HK USP,696.13,14.75,13.95,Rubber,67.0,38
TMJ,7.72,Barrett M82,939.44,9.87,7.76,Ceramic,14.0,29
V-Crown,8.24,FN Five-seveN,862.91,6.85,9.3,Brick,19.0,31
Black Talon,9.99,M16,410.42,4.12,10.36,Wood,18.0,87
Ranger T-Series,7.77,Dragunov SVD,925.89,13.21,11.11,Ceramic,28.0,19
Partition,5.81,Winchester Model 70,459.94,5.42,9.39,Ceramic,2.0,7
Partition,8.44,Kel-Tec KSG,520.98,5.85,9.86,Brick,44.0,40
V-MAX,9.57,Ruger SR9,514.23,4.98,13.97,Water,31.0,64
Critical Duty,5.0,M16,632.94,6.49,8.69,Ceramic,38.0,26
AP,10.18,Springfield XD,300.0,9.6,7.96,Metal,13.0,36
PowerBond,11.92,Walther PPQ,504.98,5.95,7.42,Brick,24.0,25
Golden Saber,7.93,SCAR-L,559.07,7.61,8.77,Glass,12.0,96
FMJ,7.98,Remington 870,300.0,5.18,6.0,Metal,3.0,43
Black Talon,6.78,Smith & Wesson M&P,300.0,9.95,10.0,Glass,7.0,84
BT,8.54,Springfield XD,334.85,7.6,13.4,Wood,7.0,46
AMAX,7.33,Remington 870,351.89,3.07,9.88,Rubber,4.0,41
Critical Defense,13.34,Smith & Wesson M&P,508.58,7.5,12.43,Kevlar,6.0,9
JHP,9.37,Dragunov SVD,473.39,8.93,9.23,Sand,14.0,35
Critical Defense,5.0,Ruger SR9,734.8,6.35,13.51,Rubber,11.0,61
BT,10.71,AR-15,424.01,2.0,10.81,Wood,8.0,46
Extreme Point,14.16,M4 Carbine,427.74,13.01,9.93,Wood,47.0,69
BT,10.53,Smith & Wesson M&P,700.78,3.97,8.04,Metal,30.0,28
Critical Duty,12.57,Walther PPQ,300.0,10.46,10.37,Rubber,1.0,56
BTHP,11.03,Remington 700,854.72,6.48,13.56,Rubber,17.0,43
TMJ,11.97,Kel-Tec KSG,300.0,7.62,6.16,Sand,24.0,34
FMJ,11.83,FN Five-seveN,704.17,7.21,9.78,Glass,1.0,75
SP,11.86,Remington 700,668.83,12.01,9.26,Glass,2.0,95
V-Crown,9.95,Winchester Model 70,813.05,8.93,7.23,Water,7.0,66
Critical Defense,5.0,Dragunov SVD,357.12,8.58,8.51,Ceramic,19.0,9
SP,5.73,SCAR-L,508.41,3.13,11.63,Glass,51.0,53
Partition,5.79,Mossberg 500,300.0,13.99,8.92,Water,13.0,56
BTHP,5.0,Barrett M82,487.74,2.0,12.23,Glass,81.0,20
JHP,7.7,Springfield XD,479.52,13.2,9.36,Ceramic,55.0,22
SP,13.25,Kel-Tec KSG,810.72,2.0,9.84,Wood,20.0,69
Golden Saber,5.0,AK-47,607.51,15.25,11.77,Concrete,12.0,32
AP,11.18,Barrett M82,493.22,9.65,9.75,Ceramic,23.0,20
Partition,10.59,Barrett M82,490.63,5.94,10.57,Kevlar,31.0,5
Gold Dot,9.69,SCAR-L,408.17,2.47,9.02,Concrete,57.0,16
Critical Duty,12.55,M16,452.18,7.94,9.4,Brick,28.0,43
ELD-M,8.88,M16,516.43,9.84,11.59,Wood,10.0,92
Critical Defense,13.56,Springfield XD,887.78,8.23,8.52,Concrete,14.0,34
SP,8.4,Kel-Tec KSG,580.36,6.37,7.83,Wood,1.0,29
PowerBond,10.03,Desert Eagle,300.0,5.09,9.41,Brick,1.0,21
PowerBond,8.58,Remington 700,1000.0,12.73,9.95,Concrete,7.0,33
BTHP,6.23,Springfield XD,706.89,6.72,8.04,Glass,33.0,51
JHP,5.0,Mossberg 500,694.39,9.48,12.86,Rubber,8.0,45
Extreme Point,10.73,Smith & Wesson M&P,456.8,10.19,10.38,Ceramic,2.0,17
BTHP,13.04,Kel-Tec KSG,659.5,3.03,8.38,Ceramic,9.0,9
Critical Defense,9.73,Kel-Tec KSG,560.86,7.59,11.05,Brick,7.0,39
Critical Defense,10.54,Barrett M82,300.0,13.25,11.9,Glass,91.0,41
Hydra-Shok,5.0,Winchester Model 70,590.73,9.16,7.81,Ceramic,71.0,12
JHP,10.16,Ruger SR9,300.0,9.78,10.98,Glass,27.0,81
V-Crown,5.0,Dragunov SVD,559.61,6.3,8.97,Rubber,35.0,42
Critical Duty,5.41,CZ 75,578.26,12.35,10.96,Metal,6.0,42
Golden Saber,13.0,Mossberg 500,317.54,15.81,14.0,Sand,15.0,48
BT,9.04,Walther PPQ,523.51,4.9,8.49,Brick,100.0,16
TMJ,9.32,FN Five-seveN,618.89,11.14,10.54,Metal,8.0,36
Critical Defense,10.66,Barrett M82,397.49,2.49,6.0,Wood,86.0,21
TMJ,11.39,CZ 75,591.43,10.43,13.96,Concrete,4.0,27
AccuBond,8.19,M4 Carbine,754.46,9.76,6.0,Water,19.0,79
EFMJ,9.88,M4 Carbine,668.43,3.42,10.34,Rubber,30.0,60
Partition,8.79,AR-15,438.02,11.7,12.04,Ceramic,18.0,46
JHP,5.0,M16,790.64,4.02,9.83,Brick,7.0,49
BT,7.94,Winchester Model 70,650.58,15.73,9.25,Rubber,34.0,29
ELD-M,10.24,Desert Eagle,466.18,8.57,9.74,Concrete,5.0,30
V-MAX,7.85,M4 Carbine,376.64,7.38,9.38,Water,11.0,80
Extreme Point,7.87,M4 Carbine,623.74,5.33,6.71,Concrete,7.0,19
PowerBond,11.35,Smith & Wesson M&P,717.07,10.43,6.0,Brick,14.0,33
SP,9.48,Sig Sauer P320,726.82,9.36,12.26,Water,10.0,56
Critical Duty,10.06,Barrett M82,623.26,8.57,8.38,Kevlar,4.0,16
SP,5.0,Benelli M4,431.81,5.0,9.95,Sand,27.0,42
Partition,10.34,AK-47,613.63,6.93,7.48,Rubber,4.0,61
AccuBond,5.67,FN Five-seveN,327.83,5.05,9.38,Brick,16.0,20
PolyCase ARX,8.93,HK416,558.01,2.0,11.61,Brick,33.0,20
V-MAX,5.81,Smith & Wesson M&P,859.66,7.44,8.95,Ceramic,13.0,13
EFMJ,11.8,HK USP,300.0,3.55,12.56,Metal,44.0,20
HST,14.49,Kel-Tec KSG,389.3,16.07,10.27,Ceramic,11.0,38
TMJ,8.56,Beretta 92FS,689.35,15.51,10.06,Wood,71.0,24
Critical Defense,8.53,Dragunov SVD,324.72,9.41,10.63,Metal,1.0,40
HST,12.09,AR-15,806.95,2.0,10.52,Kevlar,31.0,21
AP,10.72,Benelli M4,695.22,9.83,11.17,Rubber,25.0,85
JHP,8.79,Colt 1911,703.57,7.13,9.63,Wood,19.0,70
EFMJ,10.1,Sig Sauer P320,727.57,12.46,8.22,Metal,7.0,40
ELD-M,15.0,Desert Eagle,300.0,12.08,12.56,Concrete,19.0,39
JHP,6.98,SCAR-L,300.0,4.97,11.98,Sand,18.0,39
V-Crown,7.24,Springfield XD,764.02,6.54,10.72,Water,3.0,74
PolyCase ARX,11.38,Desert Eagle,438.62,6.25,11.9,Brick,42.0,35
AP,15.0,Kel-Tec KSG,485.54,6.33,7.57,Sand,15.0,52
AMAX,9.53,SCAR-L,641.58,2.0,7.98,Concrete,2.0,29
Black Talon,5.0,AK-47,530.26,9.53,11.1,Rubber,10.0,74
Golden Saber,10.17,AR-15,716.14,8.33,7.38,Glass,5.0,113
Critical Defense,7.43,Ruger SR9,615.7,6.69,13.6,Water,4.0,66
Extreme Point,10.43,Sig Sauer P320,460.45,9.1,8.63,Rubber,59.0,38
PolyCase ARX,5.0,CZ 75,481.01,9.31,7.04,Water,22.0,42
V-Crown,5.0,SCAR-L,551.67,12.66,8.52,Sand,7.0,58
EFMJ,8.11,M4 Carbine,577.99,11.58,8.19,Ceramic,23.0,16
AMAX,13.96,HK416,660.95,12.13,10.23,Concrete,32.0,21
JHP,5.0,Benelli M4,533.11,4.41,10.59,Glass,8.0,105
Partition,8.04,HK USP,483.09,3.52,8.17,Glass,84.0,58
Hydra-Shok,5.0,Benelli M4,463.99,11.81,10.02,Ceramic,43.0,19
BTHP,9.87,Springfield XD,413.58,14.83,8.39,Water,32.0,56
Gold Dot,9.66,Remington 700,820.96,11.39,12.05,Water,25.0,62
Black Talon,5.0,Sig Sauer P320,325.36,9.32,7.87,Water,1.0,62
AMAX,12.86,Kel-Tec KSG,300.0,8.03,12.99,Sand,1.0,50
Partition,5.0,Sig Sauer P320,678.28,19.44,9.87,Wood,4.0,91
Gold Dot,13.73,SCAR-L,596.28,11.33,11.37,Rubber,50.0,49
BT,13.12,Walther PPQ,912.88,7.2,7.62,Brick,5.0,28
EFMJ,9.92,HK USP,483.31,15.94,9.53,Sand,24.0,47
Hydra-Shok,11.69,Remington 700,494.2,14.89,13.92,Metal,78.0,35
AMAX,8.47,Smith & Wesson M&P,335.27,2.27,8.93,Concrete,55.0,23
Gold Dot,5.0,AK-47,520.15,3.09,10.75,Ceramic,10.0,11
PowerBond,9.71,Smith & Wesson M&P,300.0,7.18,9.19,Concrete,23.0,19
AMAX,5.0,Kel-Tec KSG,300.0,13.1,9.07,Sand,28.0,50
Gold Dot,8.97,Sig Sauer P320,391.32,5.68,12.42,Brick,16.0,34
V-Crown,5.29,Remington 700,513.26,3.92,12.8,Wood,15.0,44
TMJ,11.93,HK416,382.61,11.26,6.26,Sand,5.0,42
ELD-M,10.14,Dragunov SVD,384.3,2.0,8.91,Brick,23.0,24
BTHP,11.03,Sig Sauer P320,300.0,6.59,7.94,Wood,7.0,52
FMJ,10.02,M16,626.31,3.7,10.65,Wood,7.0,50
Gold Dot,14.64,HK416,357.47,7.97,10.89,Kevlar,6.0,23
BT,12.07,AK-47,831.91,4.21,8.48,Wood,1.0,79
Gold Dot,14.11,AR-15,486.15,7.39,8.89,Brick,37.0,26
FMJ,6.3,Kel-Tec KSG,300.0,9.69,10.35,Sand,40.0,6
Hydra-Shok,7.37,M4 Carbine,300.0,8.52,9.46,Ceramic,26.0,33
Ranger T-Series,5.0,Benelli M4,300.0,5.85,11.88,Sand,53.0,47
PowerBond,7.82,Walther PPQ,487.32,6.63,8.54,Kevlar,20.0,9
ELD-M,8.89,HK416,300.0,17.02,11.08,Ceramic,20.0,19
Critical Defense,10.3,Smith & Wesson M&P,341.49,11.53,9.57,Metal,44.0,43
AMAX,7.41,Barrett M82,393.58,7.07,12.17,Sand,5.0,40
BT,11.21,M16,351.96,8.71,10.69,Glass,11.0,91
TMJ,11.0,SCAR-L,383.1,9.81,7.23,Kevlar,24.0,13
PolyCase ARX,7.58,M4 Carbine,406.92,4.95,7.98,Water,6.0,56
BT,6.12,AR-15,342.97,8.01,7.99,Kevlar,5.0,12
HST,9.2,AR-15,793.99,3.71,9.52,Brick,46.0,19
BT,9.3,AK-47,376.65,4.03,9.35,Concrete,100.0,5
Extreme Point,7.18,Glock 17,300.0,11.5,10.23,Concrete,10.0,17
Hydra-Shok,8.22,HK USP,300.0,12.02,12.86,Kevlar,5.0,19
Critical Duty,5.0,Mossberg 500,620.38,12.61,11.19,Glass,10.0,99
FMJ,11.04,Walther PPQ,590.09,7.71,9.6,Brick,7.0,22
EFMJ,11.08,Walther PPQ,394.97,6.03,8.73,Concrete,34.0,13
PowerBond,9.15,Benelli M4,300.0,8.04,11.99,Kevlar,46.0,8
FMJ,11.3,M4 Carbine,642.3,2.0,11.35,Concrete,10.0,34
EFMJ,9.39,Remington 870,300.0,13.55,13.74,Glass,18.0,70
V-Crown,13.85,Kel-Tec KSG,574.73,2.0,11.61,Wood,2.0,83
V-Crown,5.11,Sig Sauer P320,414.17,11.89,9.71,Metal,12.0,34
PolyCase ARX,9.61,Benelli M4,599.93,4.04,11.89,Sand,1.0,61
Ranger T-Series,11.71,HK416,398.7,7.97,13.59,Brick,22.0,21
Critical Duty,13.48,Dragunov SVD,792.05,4.6,8.95,Metal,4.0,48
ELD-M,11.38,AR-15,300.0,4.66,8.48,Metal,42.0,46
FMJ,5.89,Kel-Tec KSG,615.06,2.0,7.89,Kevlar,20.0,13
Ranger T-Series,5.0,Beretta 92FS,430.78,2.92,9.73,Brick,53.0,16
FMJ,8.49,Kel-Tec KSG,359.23,11.64,8.97,Sand,56.0,7
HST,10.09,Benelli M4,751.03,3.1,9.83,Glass,4.0,123
V-MAX,11.83,Desert Eagle,300.0,2.93,9.55,Sand,14.0,52
JHP,5.71,FN Five-seveN,546.83,7.57,11.07,Concrete,4.0,24
HST,10.83,Walther PPQ,524.41,2.0,11.84,Glass,12.0,77
V-MAX,5.0,CZ 75,300.0,6.6,10.66,Kevlar,12.0,5
Golden Saber,6.78,Dragunov SVD,665.11,9.03,10.42,Rubber,27.0,45
V-Crown,11.58,Beretta 92FS,904.21,9.48,10.36,Rubber,75.0,33
V-MAX,5.43,Colt 1911,823.94,3.85,8.28,Metal,20.0,34
TMJ,5.69,Kel-Tec KSG,579.43,12.83,11.24,Rubber,34.0,38
